Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
201,Sam Houston St.,Slnd,14-14,-3.21,100.2,103.4,72.7,-.042,-5.09,100.0,105.1,+4.35
202,Middle Tennessee,SB,13-15,-3.38,96.8,100.2,66.1,+.040,-0.91,102.9,103.8,-2.79
203,Rice,WAC,10-19,-3.43,98.0,101.4,67.7,-.051,+0.85,103.8,102.9,-4.17
204,Central Michigan,MAC,8-19,-3.52,101.6,105.1,67.9,-.062,+2.61,106.4,103.8,+7.45
205,Brown,Ivy,16-10,-3.69,105.9,109.6,72.7,+.058,-6.99,98.5,105.5,-8.54
206,American,Pat,18-12,-4.01,101.0,105.1,62.9,+.057,-7.70,98.5,106.2,-3.16
207,Green Bay,Horz,9-21,-4.25,105.3,109.6,62.3,-.118,-0.25,103.8,104.1,-6.02
208,Fairfield,MAAC,12-17,-4.30,99.1,103.4,71.9,-.055,-3.99,100.0,104.0,-2.28
209,Centenary,ind,10-13,-4.40,101.4,105.8,65.6,-.031,-3.27,101.6,104.9,-0.16
210,Montana,BSky,14-15,-4.51,102.4,106.9,68.5,+.053,-1.95,103.4,105.4,+0.44
211,Santa Clara,WCC,12-15,-4.55,101.1,105.6,66.3,+.069,-0.04,103.5,103.6,-0.22
212,Bradley,MVC,9-20,-4.59,95.3,99.9,63.3,-.046,+0.99,104.8,103.9,+0.92
213,Texas A&M,B12,8-22,-4.73,97.4,102.2,68.2,+.011,+7.73,108.5,100.8,-0.61
214,Fordham,A10,8-20,-4.78,99.3,104.1,74.7,+.022,+4.74,105.9,101.1,+4.37
215,Southern Utah,MCon,9-16,-4.82,100.4,105.2,63.5,-.037,-0.29,103.7,104.0,+3.18
216,Washington St.,P10,6-21,-4.94,104.3,109.3,69.8,-.088,+9.36,108.9,99.5,-7.28
217,Belmont,ASun,11-17,-5.00,108.8,113.8,65.2,-.025,-2.66,102.8,105.4,+8.70
218,Iona,MAAC,13-17,-5.07,98.5,103.6,70.9,-.018,-3.90,100.7,104.6,-1.38
219,Winthrop,BSth,17-12,-5.31,97.3,102.6,65.9,+.038,-10.73,97.2,107.9,-0.98
220,Northern Arizona,BSky,12-14,-5.36,96.3,101.7,67.3,+.026,-3.68,102.6,106.3,-0.77
221,Hofstra,CAA,12-20,-5.44,94.8,100.3,70.8,+.027,-0.06,102.3,102.4,+2.51
222,William & Mary,CAA,9-19,-5.62,96.6,102.2,65.4,-.029,+0.44,103.9,103.4,+4.55
223,Colgate,Pat,15-11,-5.62,101.8,107.4,66.9,+.043,-8.56,98.3,106.9,-6.21
224,Howard,MEAC,18-13,-5.68,101.8,107.5,70.0,+.030,-10.16,97.5,107.7,-3.21
225,Duquesne,A10,9-19,-5.85,99.3,105.1,66.5,+.001,+4.83,106.7,101.8,+2.78
226,Saint Mary's,WCC,8-20,-5.85,91.3,97.1,65.2,-.043,+1.09,104.6,103.5,+1.02
227,Akron,MAC,9-21,-5.94,105.2,111.2,65.6,-.026,+1.27,105.4,104.2,-1.37
228,Indiana St.,MVC,6-22,-6.13,98.4,104.5,64.1,-.042,+2.20,105.8,103.6,+5.52
229,Appalachian St.,SC,8-18,-6.25,102.1,108.3,72.6,-.006,+0.93,103.3,102.4,+2.60
230,Southwest Texas St.,Slnd,11-16,-6.26,100.2,106.5,70.5,-.038,-4.56,100.2,104.8,+4.68
231,Monmouth,NEC,18-12,-6.33,96.6,103.0,65.7,+.097,-8.73,99.6,108.3,+6.88
232,Western Carolina,SC,8-16,-6.37,100.0,106.4,71.6,-.005,-1.52,102.4,104.0,-4.35
233,Eastern Illinois,OVC,12-16,-6.39,102.2,108.6,70.6,+.056,-1.26,104.1,105.3,+5.34
234,FIU,SB,9-20,-6.56,96.4,103.0,64.4,-.011,-0.59,103.2,103.8,-3.02
235,Harvard,Ivy,14-12,-6.73,94.4,101.1,67.5,+.057,-7.11,99.4,106.5,-9.57
236,Tennessee St.,OVC,9-17,-6.77,103.2,110.0,72.7,-.034,-2.01,103.7,105.7,+4.11
237,Rhode Island,A10,8-20,-6.80,97.6,104.4,64.7,+.061,+5.03,106.9,101.8,+3.63
238,Lafayette,Pat,14-14,-6.83,102.7,109.6,70.3,+.009,-7.05,98.4,105.5,-3.06
